WELL_NAME;DEPTH;Kp;AK_XM;GK_XM;NGK_XM;BK_XM;PL_XM;TVDSS
1111_pl;1815.000000;-999.250000;215.929993;13.992000;2.711000;-999.250000;2.410000;1345.070000
1111_pl;1815.100000;-999.250000;214.109993;15.129000;2.778500;-999.250000;2.375000;1345.167000
1111_pl;1815.200000;-999.250000;212.289993;16.266001;2.846000;-999.250000;2.340000;1345.264000
1111_pl;1815.300000;-999.250000;209.139999;15.014500;3.037000;-999.250000;2.370000;1345.361000
180_01;1766.400000;-999.250000;221.292007;16.544001;1.549000;53.013000;-999.250000;1375.152987
180_01;1766.500000;-999.250000;214.175003;16.496500;1.532000;53.237030;-999.250000;1375.252978
180_01;1769.900000;-999.250000;214.089996;19.453501;2.267000;56.106640;-999.250000;1378.652676
180_01;1770.000000;0.111000;231.770004;20.093000;2.256000;50.405998;-999.250000;1378.752667
180_01;1770.100000;0.111000;231.297501;20.796000;2.281000;56.549160;-999.250000;1378.852658
180_01;1770.200000;0.111000;230.824997;21.499001;2.306000;63.441010;-999.250000;1378.952649
180_01;1770.300000;0.111000;230.682495;21.115499;2.434000;84.355186;-999.250000;1379.052640
180_01;1770.400000;0.080000;230.539993;20.732000;2.562000;112.164001;-999.250000;1379.152631
180_01;1770.500000;0.080000;223.360504;20.827999;2.695000;126.606201;-999.250000;1379.252622
180_01;1770.600000;0.080000;216.181000;20.924000;2.828000;142.908005;-999.250000;1379.352613
180_01;1770.700000;0.145000;213.791000;20.788000;2.866500;164.473801;-999.250000;1379.452604
180_01;1770.800000;0.145000;211.401001;20.652000;2.905000;189.294006;-999.250000;1379.552596
180_01;1770.900000;0.145000;211.972000;19.365499;2.908000;179.748795;-999.250000;1379.652587
180_01;1771.000000;0.133000;212.542999;18.079000;2.911000;170.684998;-999.250000;1379.752578
180_01;1771.100000;0.133000;-999.250000;-999.250000;-999.250000;-999.250000;-999.250000;1379.852569
180_01;1771.200000;0.133000;-999.250000;-999.250000;-999.250000;-999.250000;-999.250000;1379.952560
180_01;1772.200000;-999.250000;213.488007;12.420000;3.680000;240.173996;-999.250000;1380.952471
180_01;1772.300000;0.145000;211.606506;13.187000;3.533500;388.250702;-999.250000;1381.052462
180_01;1772.400000;0.145000;209.725006;13.954000;3.387000;627.622070;-999.250000;1381.152453
180_01;1772.500000;0.145000;-999.250000;-999.250000;-999.250000;-999.250000;-999.250000;1381.252444
180_01;1775.600000;-999.250000;212.078995;15.917000;4.084000;111.355003;-999.250000;1384.352169
180_01;1775.700000;0.023000;217.893494;17.459000;3.766000;89.248734;-999.250000;1384.452160
180_01;1775.800000;0.023000;223.707993;19.000999;3.448000;71.531013;-999.250000;1384.552151
180_01;1775.900000;0.023000;215.022003;19.866501;3.300000;124.737701;-999.250000;1384.652142
180_01;1777.900000;-999.250000;212.105499;11.206000;3.574000;11.799620;-999.250000;1386.651964
180_01;1778.000000;-999.250000;229.166000;11.558000;3.010000;10.852000;-999.250000;1386.751956
180_01;1778.100000;0.031000;246.307007;12.431500;2.546000;10.806910;-999.250000;1386.851947
180_02;1714.800000;-999.250000;245.932007;8.296000;1.785000;18.480000;-999.250000;1358.734080
180_02;1714.900000;-999.250000;220.270493;9.291000;1.818500;18.480000;-999.250000;1358.834040
180_02;1715.300000;-999.250000;214.496506;11.572000;1.447500;119.892769;-999.250000;1359.233880
180_02;1715.400000;-999.250000;230.537994;11.894000;1.404000;98.719002;-999.250000;1359.333840
180_02;1715.500000;-999.250000;233.425003;12.158500;1.484000;77.228279;-999.250000;1359.433800
180_02;1715.600000;-999.250000;236.311996;12.423000;1.564000;60.416000;-999.250000;1359.533760
180_02;1715.700000;-999.250000;234.384003;12.477500;1.597500;50.919079;-999.250000;1359.633720
180_02;1715.800000;-999.250000;232.455994;12.532000;1.631000;42.915001;-999.250000;1359.733680
180_02;1715.900000;-999.250000;239.235001;12.640000;1.555000;49.507618;-999.250000;1359.833640
180_02;1716.000000;-999.250000;246.014008;12.748000;1.479000;57.112999;-999.250000;1359.933600
180_02;1716.100000;-999.250000;248.602997;12.955000;1.467500;43.851311;-999.250000;1360.033560
180_02;1717.400000;-999.250000;245.050995;11.826000;1.977000;22.771999;-999.250000;1361.333040
180_02;1717.500000;-999.250000;234.168503;12.211000;1.997000;29.015575;-999.250000;1361.433000
180_02;1717.600000;-999.250000;223.285995;12.596000;2.017000;36.971001;-999.250000;1361.532960
180_02;1717.700000;-999.250000;221.335007;13.238000;2.013500;35.626038;-999.250000;1361.632920
180_02;1717.800000;-999.250000;219.384003;13.880000;2.010000;34.330002;-999.250000;1361.732880
180_02;1717.900000;-999.250000;210.658997;14.730500;1.907500;40.537743;-999.250000;1361.832840
180_02;1718.200000;-999.250000;210.214005;15.549000;1.756000;81.878998;-999.250000;1362.132720
180_02;1718.300000;-999.250000;219.880005;14.538000;1.841500;73.528145;-999.250000;1362.232680
180_02;1718.400000;-999.250000;229.546005;13.527000;1.927000;66.028999;-999.250000;1362.332640
180_02;1718.500000;-999.250000;226.879501;14.024500;2.006500;57.371418;-999.250000;1362.432600
180_02;1718.600000;-999.250000;224.212997;14.522000;2.086000;49.848999;-999.250000;1362.532560
180_02;1718.700000;-999.250000;225.759506;15.260000;2.136500;51.473530;-999.250000;1362.632520
180_02;1718.800000;-999.250000;227.306000;15.998000;2.187000;53.151001;-999.250000;1362.732480
180_02;1718.900000;-999.250000;224.368500;17.137501;2.219000;49.739517;-999.250000;1362.832440
180_02;1719.000000;-999.250000;221.431000;18.277000;2.251000;46.547001;-999.250000;1362.932400
180_02;1719.100000;-999.250000;217.654007;18.180500;2.101000;43.650372;-999.250000;1363.032360
180_02;1719.200000;-999.250000;213.876999;18.084000;1.951000;40.933998;-999.250000;1363.132320
180_02;1719.300000;-999.250000;216.300003;17.217501;1.960000;45.618904;-999.250000;1363.232280
180_02;1719.400000;-999.250000;218.723007;16.351000;1.969000;50.840000;-999.250000;1363.332240
180_02;1719.500000;-999.250000;218.112503;16.639999;2.084500;50.175152;-999.250000;1363.432200
180_02;1719.600000;-999.250000;217.501999;16.929001;2.200000;49.519001;-999.250000;1363.532160
180_02;1719.700000;-999.250000;212.714996;17.806499;2.272500;56.171185;-999.250000;1363.632120
180_02;1720.100000;-999.250000;212.678497;21.056000;2.244500;70.889015;-999.250000;1364.031960
